"","X","did_purchase","ratings","recommendation","Real_Review"
"139",1416,FALSE,2,FALSE,"Fake Don't Recommand"
"140",1418,FALSE,2,FALSE,"Fake Don't Recommand"
"141",1500,FALSE,2,FALSE,"Fake Don't Recommand"
"142",3284,FALSE,1,FALSE,"Fake Don't Recommand"
"143",3285,FALSE,1,FALSE,"Fake Don't Recommand"
"144",3286,FALSE,1,FALSE,"Fake Don't Recommand"
"145",3287,FALSE,1,FALSE,"Fake Don't Recommand"
"146",3288,FALSE,1,FALSE,"Fake Don't Recommand"
"147",3289,FALSE,1,FALSE,"Fake Don't Recommand"
"148",3290,FALSE,1,FALSE,"Fake Don't Recommand"
"149",3291,FALSE,1,FALSE,"Fake Don't Recommand"
"150",3292,FALSE,1,FALSE,"Fake Don't Recommand"
"151",3294,FALSE,3,FALSE,"Fake Don't Recommand"
"152",3507,FALSE,1,FALSE,"Fake Don't Recommand"
"153",3508,FALSE,1,FALSE,"Fake Don't Recommand"
"154",3509,FALSE,1,FALSE,"Fake Don't Recommand"
"155",3510,FALSE,1,FALSE,"Fake Don't Recommand"
"156",3526,FALSE,1,FALSE,"Fake Don't Recommand"
"157",3623,FALSE,1,FALSE,"Fake Don't Recommand"
"158",3624,FALSE,1,FALSE,"Fake Don't Recommand"
"159",3625,FALSE,1,FALSE,"Fake Don't Recommand"
"160",3626,FALSE,1,FALSE,"Fake Don't Recommand"
"161",3627,FALSE,1,FALSE,"Fake Don't Recommand"
"162",3628,FALSE,2,FALSE,"Fake Don't Recommand"
"163",3682,FALSE,1,FALSE,"Fake Don't Recommand"
"164",3686,FALSE,1,FALSE,"Fake Don't Recommand"
"165",3698,FALSE,1,FALSE,"Fake Don't Recommand"
"166",3699,FALSE,1,FALSE,"Fake Don't Recommand"
"167",3701,FALSE,1,FALSE,"Fake Don't Recommand"
"168",3703,FALSE,4,FALSE,"Fake Don't Recommand"
"169",3738,FALSE,1,FALSE,"Fake Don't Recommand"
"170",3742,FALSE,4,FALSE,"Fake Don't Recommand"
"171",4224,FALSE,1,FALSE,"Fake Don't Recommand"
"172",4225,FALSE,1,FALSE,"Fake Don't Recommand"
"173",4227,FALSE,1,FALSE,"Fake Don't Recommand"
"174",4228,FALSE,1,FALSE,"Fake Don't Recommand"
"175",4229,FALSE,1,FALSE,"Fake Don't Recommand"
"176",4231,FALSE,1,FALSE,"Fake Don't Recommand"
"177",4232,FALSE,1,FALSE,"Fake Don't Recommand"
"178",4233,FALSE,1,FALSE,"Fake Don't Recommand"
"179",4234,FALSE,1,FALSE,"Fake Don't Recommand"
"180",4235,FALSE,1,FALSE,"Fake Don't Recommand"
"181",4236,FALSE,1,FALSE,"Fake Don't Recommand"
"182",4248,FALSE,2,FALSE,"Fake Don't Recommand"
"183",4249,FALSE,2,FALSE,"Fake Don't Recommand"
"184",4250,FALSE,2,FALSE,"Fake Don't Recommand"
"185",4251,FALSE,2,FALSE,"Fake Don't Recommand"
"186",4252,FALSE,2,FALSE,"Fake Don't Recommand"
"187",4253,FALSE,2,FALSE,"Fake Don't Recommand"
"188",4254,FALSE,2,FALSE,"Fake Don't Recommand"
"189",4255,FALSE,2,FALSE,"Fake Don't Recommand"
"190",4256,FALSE,2,FALSE,"Fake Don't Recommand"
"191",4261,FALSE,3,FALSE,"Fake Don't Recommand"
"192",4263,FALSE,3,FALSE,"Fake Don't Recommand"
"193",4264,FALSE,3,FALSE,"Fake Don't Recommand"
"194",4265,FALSE,3,FALSE,"Fake Don't Recommand"
"195",4281,FALSE,4,FALSE,"Fake Don't Recommand"
"196",6368,FALSE,1,FALSE,"Fake Don't Recommand"
"197",6369,FALSE,1,FALSE,"Fake Don't Recommand"
"198",6370,FALSE,1,FALSE,"Fake Don't Recommand"
"199",6371,FALSE,1,FALSE,"Fake Don't Recommand"
"200",6373,FALSE,1,FALSE,"Fake Don't Recommand"
"201",6374,FALSE,1,FALSE,"Fake Don't Recommand"
"202",6375,FALSE,1,FALSE,"Fake Don't Recommand"
"203",6376,FALSE,1,FALSE,"Fake Don't Recommand"
"204",6377,FALSE,1,FALSE,"Fake Don't Recommand"
"205",6378,FALSE,1,FALSE,"Fake Don't Recommand"
"206",6379,FALSE,1,FALSE,"Fake Don't Recommand"
"207",6381,FALSE,2,FALSE,"Fake Don't Recommand"
"208",6384,FALSE,2,FALSE,"Fake Don't Recommand"
"209",6387,FALSE,3,FALSE,"Fake Don't Recommand"
"210",6408,FALSE,4,FALSE,"Fake Don't Recommand"
"211",6478,FALSE,5,FALSE,"Fake Don't Recommand"
"212",6567,FALSE,1,FALSE,"Fake Don't Recommand"
"213",6568,FALSE,1,FALSE,"Fake Don't Recommand"
"214",6569,FALSE,1,FALSE,"Fake Don't Recommand"
"215",6570,FALSE,1,FALSE,"Fake Don't Recommand"
"216",6571,FALSE,2,FALSE,"Fake Don't Recommand"
"217",6593,FALSE,1,FALSE,"Fake Don't Recommand"
"218",6594,FALSE,1,FALSE,"Fake Don't Recommand"
"219",6595,FALSE,1,FALSE,"Fake Don't Recommand"
"220",6596,FALSE,1,FALSE,"Fake Don't Recommand"
"221",6598,FALSE,1,FALSE,"Fake Don't Recommand"
"222",6605,FALSE,2,FALSE,"Fake Don't Recommand"
"223",6607,FALSE,2,FALSE,"Fake Don't Recommand"
"224",6609,FALSE,2,FALSE,"Fake Don't Recommand"
"225",6612,FALSE,2,FALSE,"Fake Don't Recommand"
"226",6637,FALSE,3,FALSE,"Fake Don't Recommand"
"227",6671,FALSE,3,FALSE,"Fake Don't Recommand"
"228",7495,FALSE,4,FALSE,"Fake Don't Recommand"
"229",7650,FALSE,4,FALSE,"Fake Don't Recommand"
"230",7854,FALSE,4,FALSE,"Fake Don't Recommand"
"231",7874,FALSE,4,FALSE,"Fake Don't Recommand"
"232",7941,FALSE,4,FALSE,"Fake Don't Recommand"
"233",10028,FALSE,5,FALSE,"Fake Don't Recommand"
"234",11350,FALSE,5,FALSE,"Fake Don't Recommand"
"235",11504,FALSE,5,FALSE,"Fake Don't Recommand"
"236",11726,FALSE,5,FALSE,"Fake Don't Recommand"
"237",12601,FALSE,5,FALSE,"Fake Don't Recommand"
"238",12963,FALSE,5,FALSE,"Fake Don't Recommand"
"239",13853,FALSE,5,FALSE,"Fake Don't Recommand"
"240",15195,FALSE,3,FALSE,"Fake Don't Recommand"
"241",15329,FALSE,5,FALSE,"Fake Don't Recommand"
"242",15367,FALSE,5,FALSE,"Fake Don't Recommand"
"243",15522,FALSE,1,FALSE,"Fake Don't Recommand"
"244",15523,FALSE,1,FALSE,"Fake Don't Recommand"
"245",15524,FALSE,3,FALSE,"Fake Don't Recommand"
"246",15569,FALSE,1,FALSE,"Fake Don't Recommand"
"247",15570,FALSE,1,FALSE,"Fake Don't Recommand"
"248",15571,FALSE,1,FALSE,"Fake Don't Recommand"
"249",15574,FALSE,3,FALSE,"Fake Don't Recommand"
"250",15576,FALSE,3,FALSE,"Fake Don't Recommand"
"251",15748,FALSE,1,FALSE,"Fake Don't Recommand"
