"","X","did_purchase","recommendation","review_length","Real_Review"
"214",51391,TRUE,FALSE,10,"Real Don't Recommand"
"215",51392,TRUE,FALSE,8,"Real Don't Recommand"
"216",51393,TRUE,FALSE,12,"Real Don't Recommand"
"217",51394,TRUE,FALSE,44,"Real Don't Recommand"
"218",51395,TRUE,FALSE,4,"Real Don't Recommand"
"219",51397,TRUE,FALSE,29,"Real Don't Recommand"
"220",51398,TRUE,FALSE,34,"Real Don't Recommand"
"221",51399,TRUE,FALSE,78,"Real Don't Recommand"
"222",51400,TRUE,FALSE,52,"Real Don't Recommand"
"223",51401,TRUE,FALSE,24,"Real Don't Recommand"
"224",51405,TRUE,FALSE,30,"Real Don't Recommand"
"225",51406,TRUE,FALSE,28,"Real Don't Recommand"
"226",51407,TRUE,FALSE,11,"Real Don't Recommand"
"227",51408,TRUE,FALSE,23,"Real Don't Recommand"
"228",51411,TRUE,FALSE,23,"Real Don't Recommand"
"229",51413,TRUE,FALSE,13,"Real Don't Recommand"
"230",51414,TRUE,FALSE,49,"Real Don't Recommand"
"231",51415,TRUE,FALSE,35,"Real Don't Recommand"
"232",51416,TRUE,FALSE,88,"Real Don't Recommand"
"233",51417,TRUE,FALSE,46,"Real Don't Recommand"
"234",51418,TRUE,FALSE,41,"Real Don't Recommand"
"235",51420,TRUE,FALSE,35,"Real Don't Recommand"
"236",51422,TRUE,FALSE,6,"Real Don't Recommand"
"237",51426,TRUE,FALSE,7,"Real Don't Recommand"
"238",51429,TRUE,FALSE,10,"Real Don't Recommand"
"239",51432,TRUE,FALSE,8,"Real Don't Recommand"
"240",51436,TRUE,FALSE,15,"Real Don't Recommand"
"241",51437,TRUE,FALSE,25,"Real Don't Recommand"
"242",51440,TRUE,FALSE,24,"Real Don't Recommand"
"243",51441,TRUE,FALSE,20,"Real Don't Recommand"
"244",51442,TRUE,FALSE,37,"Real Don't Recommand"
"245",51446,TRUE,FALSE,76,"Real Don't Recommand"
"246",51447,TRUE,FALSE,58,"Real Don't Recommand"
"247",51451,TRUE,FALSE,14,"Real Don't Recommand"
"248",51455,TRUE,FALSE,33,"Real Don't Recommand"
"249",51456,TRUE,FALSE,120,"Real Don't Recommand"
"250",51457,TRUE,FALSE,21,"Real Don't Recommand"
"251",51463,TRUE,FALSE,135,"Real Don't Recommand"
"252",51497,TRUE,FALSE,29,"Real Don't Recommand"
"253",51531,TRUE,FALSE,21,"Real Don't Recommand"
"254",51605,TRUE,FALSE,94,"Real Don't Recommand"
"255",51621,TRUE,FALSE,3,"Real Don't Recommand"
"256",51737,TRUE,FALSE,30,"Real Don't Recommand"
"257",51960,TRUE,FALSE,9,"Real Don't Recommand"
"258",52150,TRUE,FALSE,41,"Real Don't Recommand"
"259",52232,TRUE,FALSE,15,"Real Don't Recommand"
"260",55071,TRUE,FALSE,19,"Real Don't Recommand"
"261",55692,TRUE,FALSE,42,"Real Don't Recommand"
"262",56418,TRUE,FALSE,23,"Real Don't Recommand"
"263",56793,TRUE,FALSE,30,"Real Don't Recommand"
"264",57799,TRUE,FALSE,13,"Real Don't Recommand"
"265",60111,TRUE,FALSE,87,"Real Don't Recommand"
"266",60112,TRUE,FALSE,103,"Real Don't Recommand"
"267",60113,TRUE,FALSE,48,"Real Don't Recommand"
"268",60135,TRUE,FALSE,30,"Real Don't Recommand"
"269",60291,TRUE,FALSE,58,"Real Don't Recommand"
"270",60639,TRUE,FALSE,24,"Real Don't Recommand"
"271",60711,TRUE,FALSE,39,"Real Don't Recommand"
"272",60713,TRUE,FALSE,32,"Real Don't Recommand"
"273",60898,TRUE,FALSE,5,"Real Don't Recommand"
"274",61009,TRUE,FALSE,13,"Real Don't Recommand"
"275",61018,TRUE,FALSE,274,"Real Don't Recommand"
"276",61327,TRUE,FALSE,68,"Real Don't Recommand"
"277",61359,TRUE,FALSE,28,"Real Don't Recommand"
"278",61369,TRUE,FALSE,143,"Real Don't Recommand"
"279",61370,TRUE,FALSE,131,"Real Don't Recommand"
"280",61372,TRUE,FALSE,74,"Real Don't Recommand"
"281",61373,TRUE,FALSE,58,"Real Don't Recommand"
"282",61374,TRUE,FALSE,125,"Real Don't Recommand"
"283",61375,TRUE,FALSE,40,"Real Don't Recommand"
"284",61389,TRUE,FALSE,15,"Real Don't Recommand"
"285",61859,TRUE,FALSE,22,"Real Don't Recommand"
"286",62003,TRUE,FALSE,62,"Real Don't Recommand"
"287",62447,TRUE,FALSE,31,"Real Don't Recommand"
"288",63608,TRUE,FALSE,18,"Real Don't Recommand"
"289",66304,TRUE,FALSE,4,"Real Don't Recommand"
"290",68803,TRUE,FALSE,81,"Real Don't Recommand"
"291",70810,TRUE,FALSE,81,"Real Don't Recommand"
