"","X","did_purchase","recommendation","review_length","Real_Review"
"295",17482,FALSE,FALSE,71,"Fake Don't Recommand"
"296",17483,FALSE,FALSE,49,"Fake Don't Recommand"
"297",17484,FALSE,FALSE,18,"Fake Don't Recommand"
"298",17485,FALSE,FALSE,38,"Fake Don't Recommand"
"299",17486,FALSE,FALSE,103,"Fake Don't Recommand"
"300",17487,FALSE,FALSE,40,"Fake Don't Recommand"
"301",17488,FALSE,FALSE,31,"Fake Don't Recommand"
"302",17491,FALSE,FALSE,54,"Fake Don't Recommand"
"303",17504,FALSE,FALSE,93,"Fake Don't Recommand"
"304",17514,FALSE,FALSE,69,"Fake Don't Recommand"
"305",17515,FALSE,FALSE,18,"Fake Don't Recommand"
"306",17517,FALSE,FALSE,112,"Fake Don't Recommand"
"307",17518,FALSE,FALSE,109,"Fake Don't Recommand"
"308",17521,FALSE,FALSE,73,"Fake Don't Recommand"
"309",17523,FALSE,FALSE,61,"Fake Don't Recommand"
"310",17527,FALSE,FALSE,15,"Fake Don't Recommand"
"311",17529,FALSE,FALSE,22,"Fake Don't Recommand"
"312",17530,FALSE,FALSE,12,"Fake Don't Recommand"
"313",17536,FALSE,FALSE,174,"Fake Don't Recommand"
"314",17547,FALSE,FALSE,15,"Fake Don't Recommand"
"315",17549,FALSE,FALSE,30,"Fake Don't Recommand"
"316",17552,FALSE,FALSE,28,"Fake Don't Recommand"
"317",17555,FALSE,FALSE,21,"Fake Don't Recommand"
"318",17650,FALSE,FALSE,84,"Fake Don't Recommand"
"319",17740,FALSE,FALSE,66,"Fake Don't Recommand"
"320",17804,FALSE,FALSE,84,"Fake Don't Recommand"
"321",17805,FALSE,FALSE,58,"Fake Don't Recommand"
"322",17806,FALSE,FALSE,81,"Fake Don't Recommand"
"323",17807,FALSE,FALSE,76,"Fake Don't Recommand"
"324",17808,FALSE,FALSE,186,"Fake Don't Recommand"
"325",17809,FALSE,FALSE,90,"Fake Don't Recommand"
"326",17811,FALSE,FALSE,76,"Fake Don't Recommand"
"327",17812,FALSE,FALSE,52,"Fake Don't Recommand"
"328",17813,FALSE,FALSE,106,"Fake Don't Recommand"
"329",17815,FALSE,FALSE,16,"Fake Don't Recommand"
"330",18024,FALSE,FALSE,22,"Fake Don't Recommand"
"331",18025,FALSE,FALSE,13,"Fake Don't Recommand"
"332",18069,FALSE,FALSE,20,"Fake Don't Recommand"
"333",18093,FALSE,FALSE,46,"Fake Don't Recommand"
"334",18095,FALSE,FALSE,51,"Fake Don't Recommand"
"335",18098,FALSE,FALSE,102,"Fake Don't Recommand"
"336",18254,FALSE,FALSE,23,"Fake Don't Recommand"
"337",18420,FALSE,FALSE,44,"Fake Don't Recommand"
"338",18424,FALSE,FALSE,40,"Fake Don't Recommand"
"339",18437,FALSE,FALSE,44,"Fake Don't Recommand"
"340",18438,FALSE,FALSE,4,"Fake Don't Recommand"
"341",18516,FALSE,FALSE,18,"Fake Don't Recommand"
"342",18526,FALSE,FALSE,14,"Fake Don't Recommand"
"343",18640,FALSE,FALSE,62,"Fake Don't Recommand"
"344",18641,FALSE,FALSE,130,"Fake Don't Recommand"
"345",18642,FALSE,FALSE,137,"Fake Don't Recommand"
"346",18643,FALSE,FALSE,78,"Fake Don't Recommand"
"347",18644,FALSE,FALSE,87,"Fake Don't Recommand"
"348",18645,FALSE,FALSE,64,"Fake Don't Recommand"
"349",18646,FALSE,FALSE,37,"Fake Don't Recommand"
"350",18649,FALSE,FALSE,10,"Fake Don't Recommand"
"351",18650,FALSE,FALSE,18,"Fake Don't Recommand"
"352",18661,FALSE,FALSE,70,"Fake Don't Recommand"
"353",18788,FALSE,FALSE,61,"Fake Don't Recommand"
"354",18789,FALSE,FALSE,73,"Fake Don't Recommand"
"355",18790,FALSE,FALSE,48,"Fake Don't Recommand"
"356",18791,FALSE,FALSE,141,"Fake Don't Recommand"
"357",18792,FALSE,FALSE,50,"Fake Don't Recommand"
"358",18793,FALSE,FALSE,48,"Fake Don't Recommand"
"359",18794,FALSE,FALSE,46,"Fake Don't Recommand"
"360",18797,FALSE,FALSE,71,"Fake Don't Recommand"
"361",18808,FALSE,FALSE,17,"Fake Don't Recommand"
"362",20059,FALSE,FALSE,36,"Fake Don't Recommand"
"363",20513,FALSE,FALSE,29,"Fake Don't Recommand"
"364",20717,FALSE,FALSE,14,"Fake Don't Recommand"
"365",20906,FALSE,FALSE,17,"Fake Don't Recommand"
"366",20907,FALSE,FALSE,17,"Fake Don't Recommand"
"367",20911,FALSE,FALSE,27,"Fake Don't Recommand"
"368",20916,FALSE,FALSE,15,"Fake Don't Recommand"
"369",20922,FALSE,FALSE,62,"Fake Don't Recommand"
"370",20975,FALSE,FALSE,30,"Fake Don't Recommand"
"371",20978,FALSE,FALSE,24,"Fake Don't Recommand"
"372",20993,FALSE,FALSE,32,"Fake Don't Recommand"
"373",20999,FALSE,FALSE,14,"Fake Don't Recommand"
"374",21003,FALSE,FALSE,90,"Fake Don't Recommand"
"375",21126,FALSE,FALSE,10,"Fake Don't Recommand"
"376",21130,FALSE,FALSE,12,"Fake Don't Recommand"
"377",21151,FALSE,FALSE,26,"Fake Don't Recommand"
"378",21152,FALSE,FALSE,9,"Fake Don't Recommand"
"379",21159,FALSE,FALSE,14,"Fake Don't Recommand"
"380",21161,FALSE,FALSE,7,"Fake Don't Recommand"
"381",21163,FALSE,FALSE,7,"Fake Don't Recommand"
"382",21308,FALSE,FALSE,63,"Fake Don't Recommand"
"383",21421,FALSE,FALSE,8,"Fake Don't Recommand"
"384",21422,FALSE,FALSE,29,"Fake Don't Recommand"
"385",21423,FALSE,FALSE,20,"Fake Don't Recommand"
"386",21424,FALSE,FALSE,27,"Fake Don't Recommand"
"387",21425,FALSE,FALSE,24,"Fake Don't Recommand"
"388",21426,FALSE,FALSE,23,"Fake Don't Recommand"
"389",21427,FALSE,FALSE,12,"Fake Don't Recommand"
"390",21428,FALSE,FALSE,21,"Fake Don't Recommand"
"391",21429,FALSE,FALSE,21,"Fake Don't Recommand"
"392",21430,FALSE,FALSE,20,"Fake Don't Recommand"
"393",21431,FALSE,FALSE,20,"Fake Don't Recommand"
"394",21432,FALSE,FALSE,20,"Fake Don't Recommand"
"395",21433,FALSE,FALSE,19,"Fake Don't Recommand"
"396",21434,FALSE,FALSE,20,"Fake Don't Recommand"
"397",21435,FALSE,FALSE,12,"Fake Don't Recommand"
"398",21436,FALSE,FALSE,24,"Fake Don't Recommand"
"399",21437,FALSE,FALSE,20,"Fake Don't Recommand"
"400",21438,FALSE,FALSE,28,"Fake Don't Recommand"
"401",21439,FALSE,FALSE,31,"Fake Don't Recommand"
"402",21440,FALSE,FALSE,21,"Fake Don't Recommand"
"403",21441,FALSE,FALSE,19,"Fake Don't Recommand"
"404",21442,FALSE,FALSE,35,"Fake Don't Recommand"
"405",21443,FALSE,FALSE,32,"Fake Don't Recommand"
"406",21444,FALSE,FALSE,31,"Fake Don't Recommand"
"407",21445,FALSE,FALSE,15,"Fake Don't Recommand"
"408",21446,FALSE,FALSE,26,"Fake Don't Recommand"
"409",21447,FALSE,FALSE,26,"Fake Don't Recommand"
"410",21448,FALSE,FALSE,25,"Fake Don't Recommand"
"411",21449,FALSE,FALSE,29,"Fake Don't Recommand"
"412",21450,FALSE,FALSE,26,"Fake Don't Recommand"
"413",21451,FALSE,FALSE,29,"Fake Don't Recommand"
"414",21452,FALSE,FALSE,21,"Fake Don't Recommand"
"415",21453,FALSE,FALSE,13,"Fake Don't Recommand"
"416",21454,FALSE,FALSE,14,"Fake Don't Recommand"
"417",21455,FALSE,FALSE,19,"Fake Don't Recommand"
"418",21456,FALSE,FALSE,18,"Fake Don't Recommand"
"419",21457,FALSE,FALSE,10,"Fake Don't Recommand"
"420",21458,FALSE,FALSE,17,"Fake Don't Recommand"
"421",21459,FALSE,FALSE,18,"Fake Don't Recommand"
"422",21460,FALSE,FALSE,18,"Fake Don't Recommand"
"423",21461,FALSE,FALSE,18,"Fake Don't Recommand"
"424",21462,FALSE,FALSE,13,"Fake Don't Recommand"
"425",21463,FALSE,FALSE,13,"Fake Don't Recommand"
"426",21464,FALSE,FALSE,9,"Fake Don't Recommand"
"427",21465,FALSE,FALSE,13,"Fake Don't Recommand"
"428",21466,FALSE,FALSE,13,"Fake Don't Recommand"
"429",21467,FALSE,FALSE,10,"Fake Don't Recommand"
"430",21468,FALSE,FALSE,10,"Fake Don't Recommand"
"431",21469,FALSE,FALSE,36,"Fake Don't Recommand"
"432",21470,FALSE,FALSE,34,"Fake Don't Recommand"
"433",21471,FALSE,FALSE,32,"Fake Don't Recommand"
"434",21472,FALSE,FALSE,36,"Fake Don't Recommand"
"435",21473,FALSE,FALSE,35,"Fake Don't Recommand"
"436",21474,FALSE,FALSE,32,"Fake Don't Recommand"
"437",21475,FALSE,FALSE,18,"Fake Don't Recommand"
"438",21476,FALSE,FALSE,34,"Fake Don't Recommand"
"439",21477,FALSE,FALSE,33,"Fake Don't Recommand"
"440",21478,FALSE,FALSE,33,"Fake Don't Recommand"
"441",21479,FALSE,FALSE,28,"Fake Don't Recommand"
"442",21480,FALSE,FALSE,33,"Fake Don't Recommand"
"443",21481,FALSE,FALSE,30,"Fake Don't Recommand"
"444",21482,FALSE,FALSE,27,"Fake Don't Recommand"
"445",21483,FALSE,FALSE,18,"Fake Don't Recommand"
"446",21484,FALSE,FALSE,19,"Fake Don't Recommand"
"447",21485,FALSE,FALSE,31,"Fake Don't Recommand"
"448",21486,FALSE,FALSE,36,"Fake Don't Recommand"
"449",21487,FALSE,FALSE,47,"Fake Don't Recommand"
"450",21488,FALSE,FALSE,42,"Fake Don't Recommand"
"451",21489,FALSE,FALSE,42,"Fake Don't Recommand"
"452",21490,FALSE,FALSE,35,"Fake Don't Recommand"
