"","X","did_purchase","ratings","recommendation","Real_Review"
"173",46779,TRUE,2,FALSE,"Real Don't Recommand"
"174",46780,TRUE,2,FALSE,"Real Don't Recommand"
"175",46781,TRUE,2,FALSE,"Real Don't Recommand"
"176",46783,TRUE,2,FALSE,"Real Don't Recommand"
"177",46785,TRUE,2,FALSE,"Real Don't Recommand"
"178",46787,TRUE,2,FALSE,"Real Don't Recommand"
"179",46788,TRUE,2,FALSE,"Real Don't Recommand"
"180",46791,TRUE,2,FALSE,"Real Don't Recommand"
"181",46801,TRUE,2,FALSE,"Real Don't Recommand"
"182",46802,TRUE,2,FALSE,"Real Don't Recommand"
"183",46803,TRUE,2,FALSE,"Real Don't Recommand"
"184",46806,TRUE,2,FALSE,"Real Don't Recommand"
"185",46809,TRUE,3,FALSE,"Real Don't Recommand"
"186",46810,TRUE,3,FALSE,"Real Don't Recommand"
"187",46812,TRUE,3,FALSE,"Real Don't Recommand"
"188",46813,TRUE,3,FALSE,"Real Don't Recommand"
"189",46818,TRUE,3,FALSE,"Real Don't Recommand"
"190",46824,TRUE,3,FALSE,"Real Don't Recommand"
"191",46826,TRUE,3,FALSE,"Real Don't Recommand"
"192",46828,TRUE,3,FALSE,"Real Don't Recommand"
"193",46830,TRUE,3,FALSE,"Real Don't Recommand"
"194",46833,TRUE,3,FALSE,"Real Don't Recommand"
"195",46834,TRUE,3,FALSE,"Real Don't Recommand"
"196",46836,TRUE,3,FALSE,"Real Don't Recommand"
"197",46840,TRUE,3,FALSE,"Real Don't Recommand"
"198",46842,TRUE,3,FALSE,"Real Don't Recommand"
"199",46843,TRUE,3,FALSE,"Real Don't Recommand"
"200",47031,TRUE,5,FALSE,"Real Don't Recommand"
"201",47184,TRUE,5,FALSE,"Real Don't Recommand"
"202",47240,TRUE,5,FALSE,"Real Don't Recommand"
"203",47295,TRUE,5,FALSE,"Real Don't Recommand"
"204",47472,TRUE,1,FALSE,"Real Don't Recommand"
"205",47473,TRUE,1,FALSE,"Real Don't Recommand"
"206",51283,TRUE,3,FALSE,"Real Don't Recommand"
"207",51381,TRUE,2,FALSE,"Real Don't Recommand"
"208",51385,TRUE,1,FALSE,"Real Don't Recommand"
"209",51386,TRUE,1,FALSE,"Real Don't Recommand"
"210",51387,TRUE,1,FALSE,"Real Don't Recommand"
"211",51388,TRUE,1,FALSE,"Real Don't Recommand"
"212",51389,TRUE,1,FALSE,"Real Don't Recommand"
"213",51390,TRUE,1,FALSE,"Real Don't Recommand"
"214",51391,TRUE,1,FALSE,"Real Don't Recommand"
"215",51392,TRUE,1,FALSE,"Real Don't Recommand"
"216",51393,TRUE,1,FALSE,"Real Don't Recommand"
"217",51394,TRUE,1,FALSE,"Real Don't Recommand"
"218",51395,TRUE,1,FALSE,"Real Don't Recommand"
"219",51397,TRUE,1,FALSE,"Real Don't Recommand"
"220",51398,TRUE,1,FALSE,"Real Don't Recommand"
"221",51399,TRUE,1,FALSE,"Real Don't Recommand"
"222",51400,TRUE,1,FALSE,"Real Don't Recommand"
"223",51401,TRUE,1,FALSE,"Real Don't Recommand"
"224",51405,TRUE,2,FALSE,"Real Don't Recommand"
"225",51406,TRUE,2,FALSE,"Real Don't Recommand"
"226",51407,TRUE,2,FALSE,"Real Don't Recommand"
"227",51408,TRUE,2,FALSE,"Real Don't Recommand"
"228",51411,TRUE,2,FALSE,"Real Don't Recommand"
"229",51413,TRUE,2,FALSE,"Real Don't Recommand"
"230",51414,TRUE,2,FALSE,"Real Don't Recommand"
"231",51415,TRUE,2,FALSE,"Real Don't Recommand"
"232",51416,TRUE,2,FALSE,"Real Don't Recommand"
"233",51417,TRUE,2,FALSE,"Real Don't Recommand"
"234",51418,TRUE,2,FALSE,"Real Don't Recommand"
"235",51420,TRUE,2,FALSE,"Real Don't Recommand"
"236",51422,TRUE,3,FALSE,"Real Don't Recommand"
"237",51426,TRUE,3,FALSE,"Real Don't Recommand"
"238",51429,TRUE,3,FALSE,"Real Don't Recommand"
"239",51432,TRUE,3,FALSE,"Real Don't Recommand"
"240",51436,TRUE,3,FALSE,"Real Don't Recommand"
"241",51437,TRUE,3,FALSE,"Real Don't Recommand"
"242",51440,TRUE,3,FALSE,"Real Don't Recommand"
"243",51441,TRUE,3,FALSE,"Real Don't Recommand"
"244",51442,TRUE,3,FALSE,"Real Don't Recommand"
"245",51446,TRUE,3,FALSE,"Real Don't Recommand"
"246",51447,TRUE,3,FALSE,"Real Don't Recommand"
"247",51451,TRUE,3,FALSE,"Real Don't Recommand"
"248",51455,TRUE,3,FALSE,"Real Don't Recommand"
"249",51456,TRUE,3,FALSE,"Real Don't Recommand"
"250",51457,TRUE,3,FALSE,"Real Don't Recommand"
"251",51463,TRUE,3,FALSE,"Real Don't Recommand"
"252",51497,TRUE,4,FALSE,"Real Don't Recommand"
"253",51531,TRUE,4,FALSE,"Real Don't Recommand"
"254",51605,TRUE,4,FALSE,"Real Don't Recommand"
"255",51621,TRUE,5,FALSE,"Real Don't Recommand"
"256",51737,TRUE,5,FALSE,"Real Don't Recommand"
"257",51960,TRUE,1,FALSE,"Real Don't Recommand"
"258",52150,TRUE,2,FALSE,"Real Don't Recommand"
"259",52232,TRUE,1,FALSE,"Real Don't Recommand"
"260",55071,TRUE,2,FALSE,"Real Don't Recommand"
"261",55692,TRUE,2,FALSE,"Real Don't Recommand"
"262",56418,TRUE,2,FALSE,"Real Don't Recommand"
"263",56793,TRUE,3,FALSE,"Real Don't Recommand"
"264",57799,TRUE,3,FALSE,"Real Don't Recommand"
"265",60111,TRUE,1,FALSE,"Real Don't Recommand"
"266",60112,TRUE,1,FALSE,"Real Don't Recommand"
"267",60113,TRUE,2,FALSE,"Real Don't Recommand"
"268",60135,TRUE,5,FALSE,"Real Don't Recommand"
"269",60291,TRUE,2,FALSE,"Real Don't Recommand"
"270",60639,TRUE,2,FALSE,"Real Don't Recommand"
"271",60711,TRUE,2,FALSE,"Real Don't Recommand"
"272",60713,TRUE,4,FALSE,"Real Don't Recommand"
"273",60898,TRUE,1,FALSE,"Real Don't Recommand"
"274",61009,TRUE,1,FALSE,"Real Don't Recommand"
"275",61018,TRUE,1,FALSE,"Real Don't Recommand"
"276",61327,TRUE,2,FALSE,"Real Don't Recommand"
"277",61359,TRUE,5,FALSE,"Real Don't Recommand"
"278",61369,TRUE,1,FALSE,"Real Don't Recommand"
"279",61370,TRUE,1,FALSE,"Real Don't Recommand"
"280",61372,TRUE,1,FALSE,"Real Don't Recommand"
"281",61373,TRUE,1,FALSE,"Real Don't Recommand"
"282",61374,TRUE,2,FALSE,"Real Don't Recommand"
"283",61375,TRUE,2,FALSE,"Real Don't Recommand"
"284",61389,TRUE,2,FALSE,"Real Don't Recommand"
"285",61859,TRUE,1,FALSE,"Real Don't Recommand"
"286",62003,TRUE,1,FALSE,"Real Don't Recommand"
"287",62447,TRUE,2,FALSE,"Real Don't Recommand"
"288",63608,TRUE,3,FALSE,"Real Don't Recommand"
"289",66304,TRUE,2,FALSE,"Real Don't Recommand"
"290",68803,TRUE,1,FALSE,"Real Don't Recommand"
"291",70810,TRUE,1,FALSE,"Real Don't Recommand"
